Gene_Name	CKDdb_num_of_studies	CKDdb_Disease
PCLN1	1	Diabetes (diabetic nephropathy)
CLDN17	1	Dialysis (hemodialysis)
UNQ758/PRO1489	1	Dialysis (hemodialysis)
UNQ758	1	Dialysis (hemodialysis)
CLDN22	1	Chronic_Renal_Insufficiency (CKD)
CLDND1	1	Nephrosclerosis (glomerulosclerosis)
HSPC174	1	Nephrosclerosis (glomerulosclerosis)
UNQ2511/PRO6000	1	Nephrosclerosis (glomerulosclerosis)
CLEC11A	1	Dialysis (hemodialysis)
CLECSF3	1	Dialysis (hemodialysis)
LSLCL	1	Dialysis (hemodialysis)
CLEC12B	1	Chronic_Renal_Insufficiency (CKD)
UNQ5782/PRO16089	1	Chronic_Renal_Insufficiency (CKD)
UNQ5782	1	Chronic_Renal_Insufficiency (CKD)
CLEC3A	1	Chronic_Renal_Insufficiency (CKD)
CLECSF1	1	Chronic_Renal_Insufficiency (CKD)
UNQ700/PRO1345	1	Chronic_Renal_Insufficiency (CKD)
CLEC4A4	1	AKI (AKI)
DCIR2	1	AKI (AKI)
CLEC4B1	1	Polycystic_Kidney_Disease (Autosomal Dominant Polycystic kidney disease)
CLEC4N	1	Polycystic_Kidney_Disease (Autosomal Dominant Polycystic kidney disease)
CLECSF10	1	Polycystic_Kidney_Disease (Autosomal Dominant Polycystic kidney disease)
CLECL1	1	Chronic_Renal_Insufficiency (CKD)
DCAL1	1	Chronic_Renal_Insufficiency (CKD)
CLGN	1	Chronic_Renal_Insufficiency (Chronic kidney disease)
CLIC6	1	Chronic_Renal_Insufficiency (CKD)
CLIC1L	1	Chronic_Renal_Insufficiency (CKD)
PARCHORIN	1	Chronic_Renal_Insufficiency (CKD)
CLK1	1	Nephrosclerosis (glomerulosclerosis)
CLK	1	Nephrosclerosis (glomerulosclerosis)
CLM	1	AKI (AKI)
CD300C	1	AKI (AKI)
IGSF7	1	AKI (AKI)
CLN5	1	Chronic_Renal_Insufficiency (CKD)
CLN6	1	Chronic_Renal_Insufficiency (CKD)
HEAB	1	Chronic_Renal_Insufficiency (CKD)
CLPP	1	AKI (AKI)
CLPX	1	Glomerulonephritis (IgA nephropathy)
CLUAP1	1	Chronic_Renal_Insufficiency (CKD)
CLUH	1	Nephrosclerosis (glomerulosclerosis)
CLUHP3	1	Dialysis (hemodialysis)
CLUL1	1	Dialysis (hemodialysis)
CLVS2	1	remnant_kidney_model (remnant kidney model)
CMAR	1	Diabetes (diabetic nephropathy)
CMC1	1	AKI (AKI)
CMKLR1	1	Dialysis (hemodialysis)
CHEMR23	1	Dialysis (hemodialysis)
DEZ	1	Dialysis (hemodialysis)
CML5	1	Diabetes (diabetic nephropathy)
CMSS1	1	Chronic_Renal_Insufficiency (CKD)
CMTM2B	1	remnant_kidney_model (remnant kidney model)
CMTM3	1	Diabetes (diabetic nephropathy)
CMTM4	1	Glomerulonephritis (IgA nephropathy)
CKLFSF4	1	Glomerulonephritis (IgA nephropathy)
CMTM7	1	Diabetes (diabetic nephropathy)
CMTM8	1	AKI (AKI)
CKLFSF8	1	AKI (AKI)
CNEP1R1	1	Chronic_Renal_Insufficiency (CKD)
TMEM188	1	Chronic_Renal_Insufficiency (CKD)
CNFN	1	Chronic_Renal_Insufficiency (CKD)
CNGA1	1	Dialysis (hemodialysis)
CNCG	1	Dialysis (hemodialysis)
CNCG1	1	Dialysis (hemodialysis)
CNIH3	1	Diabetes (diabetic nephropathy)
CNKSR2	1	Dialysis (hemodialysis)
CNK2	1	Dialysis (hemodialysis)
KSR2	2	Dialysis (hemodialysis)|AKI (AKI)
CNOT1	1	Chronic_Renal_Insufficiency (CKD)
CDC39	1	Chronic_Renal_Insufficiency (CKD)
NOT1	1	Chronic_Renal_Insufficiency (CKD)
CNOT10	1	AKI (AKI)
CNOT6	1	AKI (AKI)
KIAA1194	1	AKI (AKI)
CNPPD1	1	Chronic_Renal_Insufficiency (CKD)
CGI-57	1	Chronic_Renal_Insufficiency (CKD)
CNPY3	1	Chronic_Renal_Insufficiency (CKD)
CTG4A	1	Chronic_Renal_Insufficiency (CKD)
ERDA5	1	Chronic_Renal_Insufficiency (CKD)
CNPY4	1	Dialysis (hemodialysis)
UNQ1909/PRO4354	1	Dialysis (hemodialysis)
UNQ1909	1	Dialysis (hemodialysis)
CNR2	1	Dialysis (hemodialysis)
CB2A	1	Dialysis (hemodialysis)
CB2B	1	Dialysis (hemodialysis)
CNRIP1	1	Diabetes (diabetic nephropathy)
CNTD2	1	Dialysis (hemodialysis)
CNTN4	1	Chronic_Renal_Insufficiency (CKD)
BIG-2	1	Chronic_Renal_Insufficiency (CKD)
CNTNAP1	1	Dialysis (hemodialysis)
CASPR	1	Dialysis (hemodialysis)
NRXN4	1	Dialysis (hemodialysis)
CNTNAP3	1	AKI (AKI)
CNTNAP5	1	Chronic_Renal_Insufficiency (CKD)
CASPR5	1	Chronic_Renal_Insufficiency (CKD)
CNTRL	1	Chronic_Renal_Insufficiency (CKD)
CEP110	1	Chronic_Renal_Insufficiency (CKD)
CNTROB	1	Polycystic_Kidney_Disease (Autosomal Dominant Polycystic kidney disease)
LIP8	1	Polycystic_Kidney_Disease (Autosomal Dominant Polycystic kidney disease)
COA3	1	AKI (AKI)
CCDC56	1	AKI (AKI)
COA7	1	Glomerulonephritis (IgA nephropathy)
SELRC1	1	Glomerulonephritis (IgA nephropathy)
RESA1	1	Glomerulonephritis (IgA nephropathy)
COG1	1	AKI (AKI)
COG2	1	Glomerulonephritis (FSGS + COLL)
LDLC	1	Glomerulonephritis (FSGS + COLL)
COIL	1	Dialysis (hemodialysis)
CLN80	1	Dialysis (hemodialysis)
COL21A1	1	Dialysis (hemodialysis)
COL1AL	1	Dialysis (hemodialysis)
FP633	1	Dialysis (hemodialysis)
COL23A1	1	Polycystic_Kidney_Disease (Autosomal Dominant Polycystic kidney disease)
COL24A1	1	AKI (AKI)
COL26A1	1	Polycystic_Kidney_Disease (Autosomal Dominant Polycystic kidney disease)
COL26A	1	Polycystic_Kidney_Disease (Autosomal Dominant Polycystic kidney disease)
EMID2	1	Polycystic_Kidney_Disease (Autosomal Dominant Polycystic kidney disease)
COL6A5	1	AKI (AKI)
COL6A6	1	Chronic_Renal_Insufficiency (CKD)
COL8A2	1	Chronic_Renal_Insufficiency (CKD)
COL9A3	1	Dialysis (hemodialysis)
COLGALT1	1	Glomerulonephritis (lupus nephritis)
COMMD1	1	Diabetes (diabetic retinopathy)
MURR1	1	Diabetes (diabetic retinopathy)
U2/MU	1	Diabetes (diabetic retinopathy)
COMMD2	1	Chronic_Renal_Insufficiency (CKD)
HSPC042	1	Chronic_Renal_Insufficiency (CKD)
MY004	1	Chronic_Renal_Insufficiency (CKD)
COMMD3	1	Dialysis (hemodialysis)
BUP	1	Dialysis (hemodialysis)
COMMD6	1	ureteral_obstruction (unilateral ureteral obstruction)
MSTP076	1	ureteral_obstruction (unilateral ureteral obstruction)
MST076	1	ureteral_obstruction (unilateral ureteral obstruction)
COMMD9	1	Dialysis (hemodialysis)
HSPC166	1	Dialysis (hemodialysis)
COPS3	1	Diabetes (diabetic retinopathy)
CSN3	1	Diabetes (diabetic retinopathy)
COPS5	1	Dialysis (hemodialysis)
CSN5	1	Dialysis (hemodialysis)
JAB1	1	Dialysis (hemodialysis)
COPZ2	1	AKI (AKI)
COQ2	1	Dialysis (hemodialysis)
CL640	1	Dialysis (hemodialysis)
COQ3	1	AKI (AKI)
COQ9	1	Polycystic_Kidney_Disease (Autosomal Dominant Polycystic kidney disease)
CORT	1	Dialysis (hemodialysis)
UNQ307/PRO350	1	Dialysis (hemodialysis)
UNQ307	1	Dialysis (hemodialysis)
COX10	1	AKI (AKI)
COX18	1	Chronic_Renal_Insufficiency (CKD)
OXA1L2	1	Chronic_Renal_Insufficiency (CKD)
COX7A1	1	Nephrosclerosis (glomerulosclerosis)
COX7AH	1	Nephrosclerosis (glomerulosclerosis)
COX7B2	1	Chronic_Renal_Insufficiency (CKD)
CPEB3	1	Polycystic_Kidney_Disease (Autosomal Dominant Polycystic kidney disease)
CPEB4	1	Polycystic_Kidney_Disease (Autosomal Dominant Polycystic kidney disease)
CPED1	1	AKI (AKI)
A430107O13RIK	1	AKI (AKI)
CPLX1	1	Polycystic_Kidney_Disease (Autosomal Dominant Polycystic kidney disease)
CPLX3	1	Chronic_Renal_Insufficiency (Chronic kidney disease)
CPNE2	1	AKI (AKI)
CPNE4	1	Diabetes (diabetic nephropathy)
CPPED1	1	Chronic_Renal_Insufficiency (CKD)
CSTP1	1	Chronic_Renal_Insufficiency (CKD)
CPSF3	1	AKI (AKI)
CPSF73	1	AKI (AKI)
CPSF7	1	AKI (AKI)
CPXCR1	1	Chronic_Renal_Insufficiency (CKD)
CPXM1	1	AKI (AKI)
CPX1	1	AKI (AKI)
CPXM	1	AKI (AKI)
CRABP1	1	Dialysis (hemodialysis)
RBP5	1	Dialysis (hemodialysis)
CRCP	1	Dialysis (hemodialysis)
RCP9	1	Dialysis (hemodialysis)
CRCT1	1	Dialysis (hemodialysis)
NICE1	1	Dialysis (hemodialysis)
NICE-1	1	Dialysis (hemodialysis)
CREB3	1	Chronic_Renal_Insufficiency (CKD)
LZIP	1	Chronic_Renal_Insufficiency (CKD)
CREBBP	1	proteinuria (proteinuria)
CREB-BINDINGPROTEIN	1	proteinuria (proteinuria)
CREBL2	1	Dialysis (hemodialysis)
CREBRF	1	Chronic_Renal_Insufficiency (CKD)
CREG1	1	Dialysis (hemodialysis)
CREG	1	Dialysis (hemodialysis)
UNQ727/PRO1409	1	Dialysis (hemodialysis)
CRELD1	1	Diabetes (diabetic kidney disease)
CIRRIN	1	Diabetes (diabetic kidney disease)
UNQ188/PRO214	1	Diabetes (diabetic kidney disease)
CRELD2	1	Diabetes (diabetic kidney disease)
UNQ185/PRO211	1	Diabetes (diabetic kidney disease)
UNQ185	1	Diabetes (diabetic kidney disease)
CRHR2	1	Dialysis (hemodialysis)
CRF2R	1	Dialysis (hemodialysis)
CRH2R	1	Dialysis (hemodialysis)
CRIM1	1	Diabetes (diabetic kidney disease)
S52	1	Diabetes (diabetic kidney disease)
UNQ1886/PRO4330	1	Diabetes (diabetic kidney disease)
CRIPAK	1	Chronic_Renal_Insufficiency (CKD)
CRKR	1	Glomerulonephritis (lupus nephritis)
CRNDE	1	AKI (AKI)
CRX	1	Chronic_Renal_Insufficiency (CKD)
CORD2	1	Chronic_Renal_Insufficiency (CKD)
CRYBA2	1	Diabetes (diabetic retinopathy)
CRYGA	1	Dialysis (hemodialysis)
CRYG1	1	Dialysis (hemodialysis)
CS	1	Fibrosis (Interstitial fibrosis and tubular atrophy)
CSAG1	1	Chronic_Renal_Insufficiency (CKD)
CSAGE	1	Chronic_Renal_Insufficiency (CKD)
CSMD2	1	Chronic_Renal_Insufficiency (CKD)
CSMD3	1	AKI (AKI)
CSNK1A1L	1	Chronic_Renal_Insufficiency (Chronic kidney disease)
CST1	1	Dialysis (hemodialysis)
CST4	1	Transplantation (acute renal allograft rejection)
CST5	1	Dialysis (hemodialysis)
CST7	1	Glomerulonephritis (lupus nephritis)
MURINECMAP	1	Glomerulonephritis (lupus nephritis)
CSTF2	1	Glomerulonephritis (lupus nephritis)
CT62	1	Dialysis (hemodialysis)
CT83	1	Chronic_Renal_Insufficiency (CKD)
KKLC1	1	Chronic_Renal_Insufficiency (CKD)
CTAGE-2	1	Dialysis (hemodialysis)
CTCFL	1	Glomerulonephritis (IgA nephropathy)
BORIS	1	Glomerulonephritis (IgA nephropathy)
CTD-2162K18.4	1	Chronic_Renal_Insufficiency (CKD)
CTDP1	1	AKI (AKI)
FCP1	1	AKI (AKI)
CTDSP1	1	Dialysis (hemodialysis)
NIF3	1	Dialysis (hemodialysis)
NLIIF	1	Dialysis (hemodialysis)
CTLA4	1	AKI (AKI)
CD152	1	AKI (AKI)
CTLA-4	1	AKI (AKI)
CTNNA3	1	Dialysis (hemodialysis)
VR22	1	Dialysis (hemodialysis)
CTNNBIP1	1	Diabetes (diabetic kidney disease)
ICAT	1	Diabetes (diabetic kidney disease)
CTNS	1	Diabetes (diabetic kidney disease)
CTRB2	1	Dialysis (hemodialysis)
CTS8	1	AKI (AKI)
CTSG	1	Diabetes (diabetic kidney disease)
CTSK	1	Diabetes (diabetic kidney disease)
CTSO2	1	Diabetes (diabetic kidney disease)
CTTNBP2	1	Diabetes (diabetic nephropathy)
CORTBP2	1	Diabetes (diabetic nephropathy)
CTU2	1	Glomerulonephritis (IgA nephropathy)
NCS2	1	Glomerulonephritis (IgA nephropathy)
UPF0432	1	Glomerulonephritis (IgA nephropathy)
CUEDC1	1	Dialysis (hemodialysis)
CUEDC2	1	Chronic_Renal_Insufficiency (CKD)
HOYS6	1	Chronic_Renal_Insufficiency (CKD)
CUL1	1	AKI (AKI)
CUL2	1	AKI (AKI)
CUL4B	1	Dialysis (hemodialysis)
CUL5	1	AKI (AKI)
CUL9	1	Diabetes (diabetic kidney disease)
H7AP1	1	Diabetes (diabetic kidney disease)
PARC	1	Diabetes (diabetic kidney disease)
CWC22	1	Diabetes (diabetic nephropathy)
NCM	1	Diabetes (diabetic nephropathy)
CWC25	1	AKI (AKI)
CCDC49	1	AKI (AKI)
CWC27	1	Chronic_Renal_Insufficiency (CKD)
SDCCAG10	1	Chronic_Renal_Insufficiency (CKD)
UNQ438/PRO871	1	Chronic_Renal_Insufficiency (CKD)
CWF19L1	1	AKI (AKI)
CXCL15	1	Glomerulonephritis (membranoproliferative glomerulonephritis model)
SCYB15	1	Glomerulonephritis (membranoproliferative glomerulonephritis model)
CXCL17	1	Chronic_Renal_Insufficiency (CKD)
VCC1	1	Chronic_Renal_Insufficiency (CKD)
UNQ473/PRO842	1	Chronic_Renal_Insufficiency (CKD)
CXX1C	1	AKI (AKI)
CXXC1	1	Chronic_Renal_Insufficiency (CKD)
CFP1	1	Chronic_Renal_Insufficiency (CKD)
CGBP	1	Chronic_Renal_Insufficiency (CKD)
CXXC4	1	Chronic_Renal_Insufficiency (Chronic kidney disease)
IDAX	1	Chronic_Renal_Insufficiency (Chronic kidney disease)
CYB5B	1	Vasopressine_induced (Vasopressine in vitro model)
CYB5M	1	Vasopressine_induced (Vasopressine in vitro model)
CYB5D2	1	AKI (AKI)
CYCT1B	1	Chronic_Renal_Insufficiency (Chronic kidney disease)
CCNT1	1	Chronic_Renal_Insufficiency (Chronic kidney disease)
CYFIP1	1	Dialysis (hemodialysis)
CYP11B1	1	Dialysis (hemodialysis)
S11BH	1	Dialysis (hemodialysis)
CYP17A1	1	Nephrosclerosis (glomerulosclerosis)
CYP17	1	Nephrosclerosis (glomerulosclerosis)
S17AH	1	Nephrosclerosis (glomerulosclerosis)
CYP2A12	1	remnant_kidney_model (remnant kidney model)
CYP2A13	1	Dialysis (hemodialysis)
CYP2A5	1	AKI (AKI)
CYP2C19	1	Dialysis (hemodialysis)
CYP2C-23	1	cisplatin_induced (cisplatin-induced nephrotoxicity)
CYP2C23	1	cisplatin_induced (cisplatin-induced nephrotoxicity)
CYP2C29	1	remnant_kidney_model (remnant kidney model)
CYP2D12	1	Chronic_Renal_Insufficiency (mouse_CKD_model)
CYP2D34	1	AKI (AKI)
CYP2D9	1	ureteral_obstruction (renal tubulointerstitial injury)
CYP2D-9	1	ureteral_obstruction (renal tubulointerstitial injury)
CYP2J11	1	Polycystic_Kidney_Disease (Autosomal Dominant Polycystic kidney disease)
CYP2J11-PS	1	Polycystic_Kidney_Disease (Autosomal Dominant Polycystic kidney disease)
CYP2J2	1	Dialysis (hemodialysis)
CYP2W1	1	Chronic_Renal_Insufficiency (CKD)
CYP4A31	1	Polycystic_Kidney_Disease (Autosomal Dominant Polycystic kidney disease)
CYP4F14	1	remnant_kidney_model (remnant kidney model)
CYP4F15	1	remnant_kidney_model (remnant kidney model)
CYP4F31P	1	Chronic_Renal_Insufficiency (CKD)
CYP4F30P	1	Chronic_Renal_Insufficiency (CKD)
CYP4F37	1	AKI (AKI)
677156	1	AKI (AKI)
CYP4F16	1	AKI (AKI)
CYTH1	1	Nephrosclerosis (glomerulosclerosis)
D17S811E	1	Nephrosclerosis (glomerulosclerosis)
PSCD1	1	Nephrosclerosis (glomerulosclerosis)
CYTH3	1	Dialysis (hemodialysis)
ARNO3	1	Dialysis (hemodialysis)
GRP1	1	Dialysis (hemodialysis)
CYTH4	1	Diabetes (diabetic kidney disease)
CYT4	1	Diabetes (diabetic kidney disease)
PSCD4	1	Diabetes (diabetic kidney disease)
CYTL1	1	ureteral_obstruction (unilateral ureteral obstruction)
UNQ1942/PRO4425	1	ureteral_obstruction (unilateral ureteral obstruction)
UNQ1942	1	ureteral_obstruction (unilateral ureteral obstruction)
D1PAS1	1	AKI (AKI)
D3ERTD254E	1	AKI (AKI)
D4S234E	1	Dialysis (hemodialysis)
NSG1	1	Dialysis (hemodialysis)
D4S234	1	Dialysis (hemodialysis)
D6WSU163E	1	AKI (AKI)
D7ERTD443E	1	AKI (AKI)
DAB2IP	1	Chronic_Renal_Insufficiency (CKD)
AF9Q34	1	Chronic_Renal_Insufficiency (CKD)
DACT2	1	AKI (AKI)
DACT3	1	Diabetes (diabetic nephropathy)
RRR1	1	Diabetes (diabetic nephropathy)
DAGLA	1	Dialysis (hemodialysis)
NSDDR	1	Dialysis (hemodialysis)
DAPL1	1	Diabetes (diabetic kidney disease)
EEDA	1	Diabetes (diabetic kidney disease)
DAPP1	1	Diabetes (diabetic nephropathy)
DARS	1	Diabetes (diabetic retinopathy)
DAW1	1	Chronic_Renal_Insufficiency (CKD)
WDR69	1	Chronic_Renal_Insufficiency (CKD)
DBF4B	1	Dialysis (hemodialysis)
ASKL1	1	Dialysis (hemodialysis)
DRF1	1	Dialysis (hemodialysis)
DBNDD1	1	Dialysis (hemodialysis)
DBNDD2	1	Nephrosclerosis (glomerulosclerosis)
HSMNP1	1	Nephrosclerosis (glomerulosclerosis)
DBP	2	Polycystic_Kidney_Disease (Autosomal Dominant Polycystic Kidney disease)|Polycystic_Kidney_Disease (Autosomal Dominant Polycystic Kidney disease)
DBX2	1	Chronic_Renal_Insufficiency (CKD)
DCAF16	1	Dialysis (hemodialysis)
DCLRE1A	1	AKI (AKI)
DCLRE1B	1	Chronic_Renal_Insufficiency (CKD)
SNM1B	1	Chronic_Renal_Insufficiency (CKD)
DCNP1	1	Chronic_Renal_Insufficiency (CKD)
DCP1B	1	Chronic_Renal_Insufficiency (CKD)
DCPP1	1	remnant_kidney_model (remnant kidney model)
DCPS	1	AKI (AKI)
DCS1	1	AKI (AKI)
HINT5	1	AKI (AKI)
DCTN6	1	Dialysis (hemodialysis)
WS3	1	Dialysis (hemodialysis)
DCUN1D4	1	Dialysis (hemodialysis)
DCUN1D5	1	AKI (AKI)
DDA1	1	remnant_kidney_model (remnant kidney model)
DDB1	1	AKI (AKI)
DDB2	1	Nephrosclerosis (glomerulosclerosis)
DDI2	1	Glomerulonephritis (FSGS + COLL)
DDIT3	1	Diabetes (diabetic kidney disease)
CHOP	1	Diabetes (diabetic kidney disease)
CHOP10	1	Diabetes (diabetic kidney disease)
DDIT4L	1	Diabetes (diabetic nephropathy)
DDOST	1	Diabetes (diabetic kidney disease)
OST48	1	Diabetes (diabetic kidney disease)
DDOST_PREDICTED	1	cisplatin_induced (cisplatin-induced nephrotoxicity)
DDR2	1	Dialysis (hemodialysis)
NTRKR3	1	Dialysis (hemodialysis)
DDX10	1	AKI (AKI)
DDX19A	1	Diabetes (diabetic retinopathy)
DDX19	1	Diabetes (diabetic retinopathy)
EIF4A-RS1	1	Diabetes (diabetic retinopathy)
DDX20	1	Chronic_Renal_Insufficiency (CKD)
DP103	1	Chronic_Renal_Insufficiency (CKD)
GEMIN3	1	Chronic_Renal_Insufficiency (CKD)
DDX26B	1	AKI (AKI)
DDX31	1	Dialysis (hemodialysis)
DDX39B	1	AKI (AKI)
DDX41	1	AKI (AKI)
DDX51	1	Dialysis (hemodialysis)
DDX52	1	Chronic_Renal_Insufficiency (Chronic kidney disease)
ROK1	1	Chronic_Renal_Insufficiency (Chronic kidney disease)
HUSSY-19	1	Chronic_Renal_Insufficiency (Chronic kidney disease)
DDX53	1	Chronic_Renal_Insufficiency (CKD)
CAGE	1	Chronic_Renal_Insufficiency (CKD)
DDX54	1	Chronic_Renal_Insufficiency (CKD)
DEDD	1	AKI (AKI)
DEFCR5	1	Polycystic_Kidney_Disease (Autosomal Dominant Polycystic kidney disease)
DEFA-RS1	1	AKI (AKI)
DEFB104A	1	Glomerulonephritis (IgA nephropathy)
DEFB104	1	Glomerulonephritis (IgA nephropathy)
DEFB4	1	Glomerulonephritis (IgA nephropathy)
DEFB106A	1	Chronic_Renal_Insufficiency (CKD)
BD6	1	Chronic_Renal_Insufficiency (CKD)
DEFB106	1	Chronic_Renal_Insufficiency (CKD)
DEFB108B	1	Glomerulonephritis (IgA nephropathy)
DEFB108	1	Glomerulonephritis (IgA nephropathy)
DEFB8	1	Glomerulonephritis (IgA nephropathy)
DEFB29	1	Polycystic_Kidney_Disease (Autosomal Dominant Polycystic kidney disease)
DEFB4A	1	Dialysis (hemodialysis)
DEFB102	1	Dialysis (hemodialysis)
DEFB2	1	Dialysis (hemodialysis)
DEFB50	1	Glomerulonephritis (adriamycin nephropathy and Thy1.1 induced glomerulonephritis)
DENND1B	1	Glomerulonephritis (lupus nephritis)
DENND2A	1	Dialysis (hemodialysis)
DENND2C	1	Chronic_Renal_Insufficiency (CKD)
DENND4B	1	AKI (AKI)
BSG4	1	AKI (AKI)
BSP4	1	AKI (AKI)
DENND6A	1	AKI (AKI)
DENND6B	1	Dialysis (hemodialysis)
FAM116B	1	Dialysis (hemodialysis)
DEPDC5	1	Dialysis (hemodialysis)
DEPDC7	1	AKI (AKI)
DERL3	1	Diabetes (diabetic nephropathy)
DEXI	1	Dialysis (hemodialysis)
MYLE	1	Dialysis (hemodialysis)
DFNA5	1	Dialysis (hemodialysis)
ICERE1	1	Dialysis (hemodialysis)
DGAT1	1	Chronic_Renal_Insufficiency (CKD)
AGRP1	1	Chronic_Renal_Insufficiency (CKD)
DGAT	1	Chronic_Renal_Insufficiency (CKD)
DGCR8	1	Dialysis (hemodialysis)
DGCRK6	1	Dialysis (hemodialysis)
LP4941	1	Dialysis (hemodialysis)
DGKI	1	Dialysis (hemodialysis)
DGKZ	1	AKI (AKI)
DGUOK	1	AKI (AKI)
DGK	1	AKI (AKI)
DGK3	1	AKI (AKI)
DHDH	1	AKI (AKI)
DHFRL1	1	Chronic_Renal_Insufficiency (CKD)
DHFRP4	1	Chronic_Renal_Insufficiency (CKD)
DHPS	1	Chronic_Renal_Insufficiency (CKD)
DS	1	Chronic_Renal_Insufficiency (CKD)
DHRS11	1	Chronic_Renal_Insufficiency (CKD)
UNQ836/PRO1774	1	Chronic_Renal_Insufficiency (CKD)
UNQ836	1	Chronic_Renal_Insufficiency (CKD)
DHRS13	1	Chronic_Renal_Insufficiency (CKD)
UNQ419/PRO853	1	Chronic_Renal_Insufficiency (CKD)
UNQ419	1	Chronic_Renal_Insufficiency (CKD)
DHX32	1	Polycystic_Kidney_Disease (Autosomal Dominant Polycystic kidney disease)
DDX32	1	Polycystic_Kidney_Disease (Autosomal Dominant Polycystic kidney disease)
DHX36	1	remnant_kidney_model (remnant kidney model)
DHX37	1	AKI (AKI)
DHX38	1	Chronic_Renal_Insufficiency (CKD)
DDX38	1	Chronic_Renal_Insufficiency (CKD)
PRP16	1	Chronic_Renal_Insufficiency (CKD)
DHX40	1	Chronic_Renal_Insufficiency (CKD)
DDX40	1	Chronic_Renal_Insufficiency (CKD)
ARG147	1	Chronic_Renal_Insufficiency (CKD)
DHX58	1	AKI (AKI)
D11LGP2E	1	AKI (AKI)
LGP2	1	AKI (AKI)
DIMT1	1	AKI (AKI)
DIMT1L	1	AKI (AKI)
DIP2A	1	AKI (AKI)
DIP2	1	AKI (AKI)
KIAA0184	1	AKI (AKI)
DIRC1	1	Chronic_Renal_Insufficiency (CKD)
DIRC2	1	Chronic_Renal_Insufficiency (CKD)
DIS3L	1	AKI (AKI)
DISC1	1	Glomerulonephritis (IgA nephropathy)
DIXDC1	1	AKI (AKI)
CCD1	1	AKI (AKI)
KIAA1735	1	AKI (AKI)
DKK1	1	Dialysis (hemodialysis)
UNQ492/PRO1008	1	Dialysis (hemodialysis)
UNQ492	1	Dialysis (hemodialysis)
DKK4	1	Dialysis (hemodialysis)
DLEU1	1	Diabetes (diabetic kidney disease)
LEU1	1	Diabetes (diabetic kidney disease)
XTP6	1	Diabetes (diabetic kidney disease)
PSD95	1	Dialysis (hemodialysis)
TIP15	1	Dialysis (hemodialysis)
DLG5	1	Diabetes (diabetic kidney disease)
PDLG	1	Diabetes (diabetic kidney disease)
LP-DLG	1	Diabetes (diabetic kidney disease)
DMBX1	1	Chronic_Renal_Insufficiency (CKD)
MBX	1	Chronic_Renal_Insufficiency (CKD)
OTX3	1	Chronic_Renal_Insufficiency (CKD)
DMRT1	1	AKI (AKI)
DMRTA1	1	Chronic_Renal_Insufficiency (CKD)
DMO	1	Chronic_Renal_Insufficiency (CKD)
DMTF1	1	Glomerulonephritis (lupus nephritis)
DNA2	1	Dialysis (hemodialysis)
DNA2L	1	Dialysis (hemodialysis)
DNAAF1	1	Dialysis (hemodialysis)
LRRC50	1	Dialysis (hemodialysis)
DNAAF3	1	AKI (AKI)
DNAH7	1	Glomerulonephritis (adriamycin nephropathy and Thy1.1 induced glomerulonephritis)
AXOB	1	Glomerulonephritis (adriamycin nephropathy and Thy1.1 induced glomerulonephritis)
DLP7	1	Glomerulonephritis (adriamycin nephropathy and Thy1.1 induced glomerulonephritis)
DNAI1	1	Dialysis (hemodialysis)
DNAI2	1	Dialysis (hemodialysis)
DNAJB13	1	Polycystic_Kidney_Disease (Autosomal Dominant Polycystic kidney disease)
TSARG	1	Polycystic_Kidney_Disease (Autosomal Dominant Polycystic kidney disease)
TSARG3	1	Polycystic_Kidney_Disease (Autosomal Dominant Polycystic kidney disease)
DNAJB3	1	Polycystic_Kidney_Disease (Autosomal Dominant Polycystic kidney disease)
HSJ3	1	Polycystic_Kidney_Disease (Autosomal Dominant Polycystic kidney disease)
MSJ1	1	Polycystic_Kidney_Disease (Autosomal Dominant Polycystic kidney disease)
DNAJC1	1	Nephrosclerosis (glomerulosclerosis)
HTJ1	1	Nephrosclerosis (glomerulosclerosis)
DNAJC18	1	Chronic_Renal_Insufficiency (CKD)
DNAJC22	1	Dialysis (hemodialysis)
DNAJC24	1	Diabetes (diabetic kidney disease)
DPH4	1	Diabetes (diabetic kidney disease)
ZCSL3	1	Diabetes (diabetic kidney disease)
DNAJC25	1	Chronic_Renal_Insufficiency (CKD)
DNAJC5B	1	Chronic_Renal_Insufficiency (CKD)
DNAJC7	1	Dialysis (hemodialysis)
TPR2	1	Dialysis (hemodialysis)
TTC2	1	Dialysis (hemodialysis)
DNALI1	1	Dialysis (hemodialysis)
DNASE1L2	1	Dialysis (hemodialysis)
DHP1	1	Dialysis (hemodialysis)
DNAS1L2	1	Dialysis (hemodialysis)
DNM1DN8-2	1	Chronic_Renal_Insufficiency (CKD)
FKSG88	1	Chronic_Renal_Insufficiency (CKD)
DNM1L	1	AKI (AKI)
DNMT3A	1	Dialysis (hemodialysis)
DOK5	1	Diabetes (diabetic kidney disease)
DOLPP1	1	Dialysis (hemodialysis)
LSFR2	1	Dialysis (hemodialysis)
DONSON	1	cisplatin_induced (cisplatin-induced nephrotoxicity)
DPCR1	1	AKI (AKI)
DPF3	1	Diabetes (diabetic nephropathy)
BAF45C	1	Diabetes (diabetic nephropathy)
CERD4	1	Diabetes (diabetic nephropathy)
DPH1	1	Diabetes (diabetic kidney disease)
DPH2L	1	Diabetes (diabetic kidney disease)
