Gene_Name	GWAS_hits	GWAS_max_P_VALUE	GWAS_min_P_VALUE	GWAS_max_OR	GWAS_min_OR	GWAS_tissue_trait_flag
OR3A2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR4A16	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR51T1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR4L1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR4N2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR4N4	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR4N5	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR4S2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR4X1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR4X2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR51A2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR51A4	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR51A7	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR51B2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR51B4	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR51B6	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR51D1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR51E1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR51E2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR51F1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR51F2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR51G1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR51G2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR51I2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR51M1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR51Q1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR51S1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR4M1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR4K5	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR4B1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR4K2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR4C11	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR4C12	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR4C13	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR4C15	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR4C3	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR4C6	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR4D1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR4D10	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR4D11	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR4D2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR4D5	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR4D9	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR4E2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR4F15	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR4F17	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR4F4	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR4F5	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR4F6	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR4K1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR4K13	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR4K14	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR4K15	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR4K17	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR7D4	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR7G1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR2AE1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PAK6	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PAGE5	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PAGR1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PAICS	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PAIP1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PAIP2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PAIP2B	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PAK1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PAK1IP1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
AGPS	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PAK3	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PAK4	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PAK7	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR7G2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PALB2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PALM	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PALM2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PALM2-AKAP2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PAM16	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PAMR1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PANK1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PANK2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PANK3	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PANK4	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PANX2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PAGE4	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PAGE3	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PAGE2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PAGE1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
P4HTM	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PA2G4	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PAAF1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PABPC1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PABPC1L2A	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PABPC3	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PABPC4L	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PABPC5	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PABPN1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PABPN1L	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PACRG	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PACRGL	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PACS2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PACSIN3	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PADI1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PADI2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PADI3	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
AGR2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PAEP	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PAF1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PAFAH1B3	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PAFAH2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PAG1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PANX3	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PAPD4	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PAPD5	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PARVA	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PASD1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PASK	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PATE1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PATE2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PATL1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PATL2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PAWR	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
AGPAT6	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
AGPAT5	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PAXBP1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PAXIP1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PAXIP1-AS2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PBDC1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PBK	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PBOV1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
AGPAT3	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PBX3	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PBXIP1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PC	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PCBD2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PCBP1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PCBP4	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PCDH1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PARVG	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PARS2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PAPL	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PARPBP	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PAPOLA	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PAPOLB	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PAPSS1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PAPSS2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PAQR3	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PAQR4	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PAQR6	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PAQR7	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PARD3	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PARD6A	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PARD6B	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PARD6G	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
AGPAT9	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PARM1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PARP10	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PARP14	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PARP15	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PARP16	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PARP2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PARP3	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PARP4	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PARP8	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PARP9	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
P4HB	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
P4HA3	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
P4HA1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR9G4	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR9Q1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR9Q2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ORAI1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ORAI3	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ORAOV1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ORC1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ORC2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ORC3	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ORC4	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ORC5	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ORC6	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ORMDL1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ORMDL2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OS9	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OSBP	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OSBP2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OSBPL10	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OSBPL11	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OSBPL1A	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OSBPL3	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OSBPL5	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OSBPL8	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OSBPL9	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR9I1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR9G1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OSCP1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR9A4	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR7G3	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR8A1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR8B12	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR8B2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR8B3	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR8B4	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR8B8	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR8D1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR8D2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR8D4	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR8G1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR8G5	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR8H1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR8H2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR8I2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR8J1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR8J3	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR8K1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR8K3	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR8K5	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR8S1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR8U1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR9A2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OSCAR	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OSGEP	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
P2RY8	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OVCH2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OVOL2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OXA1L	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OXCT1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OXER1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OXGR1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OXLD1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OXNAD1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OXR1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OXSM	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OXSR1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OXT	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
P2RX1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
P2RX2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
P2RX4	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
P2RX5	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
P2RX6	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
P2RX7	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
P2RY1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
P2RY12	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
P2RY13	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
P2RY14	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
P2RY4	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
P2RY6	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OVGP1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OVCH1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OSGIN1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OVCA2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OSGIN2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OSM	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OSR2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OSTC	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OSTF1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OSTM1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OSTN	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OTC	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OTOA	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OTOF	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OTOGL	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OTOP1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OTOP3	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OTOR	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OTP	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OTUB1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OTUB2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OTUD5	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OTUD6A	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OTUD6B	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OTUD7A	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OTX1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OTX2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR2AG1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
OR2A5	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NHLH1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NPY5R	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NPR2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
AHSA1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NPRL2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NPS	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NPSR1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NPTN	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NPTX2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NPY	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NPY1R	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NPY2R	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NPY4R	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NR0B1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NUAK1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NR0B2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NR1D1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NR1H2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NR1H4	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NR1I2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NR2C1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NR2C2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NR2C2AP	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NR2E1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NR2F6	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NR3C1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NPR1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
AHSP	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
AICDA	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NPM2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NOX1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NOX3	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NOX5	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NOXA1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NOXO1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NPAP1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NPAS1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NPAS4	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NPB	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NPBWR2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NPEPL1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NPFF	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NPFFR1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NPFFR2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NPHP1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NPHS1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NPHS2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NPIPA1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NPIPB15	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NPIPB3	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NPIPB7	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NPL	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NPM1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NR4A1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NR5A1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
AHDC1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NSL1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NSMCE2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NSMCE4A	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NSMF	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NSUN2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NSUN3	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NSUN4	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NSUN5	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NSUN7	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NT5C1A	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NT5C1B	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
AGTRAP	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NT5C3B	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NT5M	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NTF4	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NTHL1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NTMT1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NTN3	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NTNG2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NTPCR	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NTRK1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NTRK3	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NTS	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NTSR1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NSMAF	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NSG2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NRAP	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NSG1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NRARP	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NRAS	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NRBP1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NRBP2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NRCAM	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NRD1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
AHCYL2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NRG2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
AHCYL1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NRIP2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NRIP3	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NRK	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NRL	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NRN1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NRN1L	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NRROS	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NRSN1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NRSN2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
AHCY	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
AHCTF1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NSA2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NSDHL	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NSFL1C	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NOTUM	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
AIF1L	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NOTCH3	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NKAIN4	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NKD1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NKIRAS2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NKPD1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NKRF	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NKTR	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NKX1-1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NKX2-2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
AIP	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NKX2-4	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NKX2-8	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NKX3-2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NKX6-1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NKX6-2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NKX6-3	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
NLE1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
